,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season
0,17766,Luke,Coddington,26,England,181 cm,83 kg,False,37,Huddersfield,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2017/2018
1,18585,Dan,Woodards,38,England,180 cm,80 kg,False,1830,Boreham Wood,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2017/2018
2,18593,Ricky,Shakes,36,Guyana,178 cm,76 kg,False,1830,Boreham Wood,0,0,0,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2017/2018
3,18774,Wes,Morgan,37,Jamaica,186 cm,101 kg,False,46,Leicester,32,32,2818,Defender,6.740625,False,0,1,1,13,3,0,,,,739,5,80,34,27,31,251,146,12,9,,12,31,4,0,0,,,0,0,,2017/2018
4,18879,Andrew,Surman,35,England,178 cm,73 kg,False,35,Bournemouth,25,20,1852,Midfielder,6.940000,False,5,1,16,18,6,2,,5,,993,16,83,16,12,16,163,75,19,13,,14,9,2,0,0,,,0,0,,2017/2018
5,18928,Peter,Crouch,40,England,201 cm,75 kg,False,75,Stoke City,31,14,1554,Attacker,6.887096,False,17,4,21,23,9,5,,2,,373,21,57,2,4,1,455,259,7,5,,11,40,4,0,0,,,0,0,,2017/2018
6,18982,Glenn,Murray,38,England,183 cm,80 kg,False,51,Brighton,35,25,2197,Attacker,6.794117,False,10,15,11,53,25,12,,,,366,17,57,18,4,5,459,190,24,7,,50,60,9,0,0,3,,4,2,,2017/2018
7,19144,Glyn Oliver,Myhill,39,Wales,191 cm,91 kg,False,60,West Brom,1,1,90,Goalkeeper,6.300000,False,0,0,37,0,0,0,1,,2,10,0,52,,0,0,1,0,0,0,,0,1,1,0,0,,,0,0,0,2017/2018
8,19153,Gareth,Barry,39,England,183 cm,78 kg,False,60,West Brom,25,22,1926,Midfielder,6.780000,False,3,6,3,16,6,1,,1,,709,17,75,35,11,14,218,106,11,10,,29,28,4,0,0,,,0,0,,2017/2018
9,19325,Nathan,Dyer,34,England,165 cm,60 kg,False,76,Swansea,24,16,1312,Midfielder,6.520833,False,8,13,15,10,2,0,,,,414,10,81,22,0,11,184,69,47,22,,20,17,2,0,0,,,0,0,,2017/2018
