,Unnamed: 0_x,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season,Unnamed: 0_y,name,Unnamed: 0,Standings,Played,Wins,Draw,Lost,GoalsFor,GoalsAgainst,GoalDifference,Points
0,0,18241,Mark,Yeates,36.0,Republic of Ireland,175 cm,66 kg,False,47,TottenhamHotspur,0.0,0.0,0.0,Midfielder,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
1,1,19153,Gareth,Barry,39.0,England,183 cm,78 kg,False,66,AstonVilla,1.0,1.0,90.0,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
2,2,19203,Ashley,Cole,41.0,England,176 cm,66 kg,False,42,Arsenal,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
3,3,19417,Liam,Ridgewell,37.0,England,188 cm,77 kg,False,66,AstonVilla,0.0,0.0,0.0,Defender,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
4,4,50978,Justin,Hoyte,36.0,Trinidad and Tobago,180 cm,68 kg,False,42,Arsenal,1.0,0.0,1.0,Defender,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
5,5,77110,Thomas,Løvendahl Sørensen,45.0,Denmark,196 cm,89 kg,False,746,Sunderland,1.0,1.0,90.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
6,6,83026,Peter,Whittingham,34.0,England,178 cm,63 kg,False,66,AstonVilla,2.0,1.0,123.0,Midfielder,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
7,7,87907,Paul,Rachubka,40.0,England,185 cm,84 kg,False,1335,Charlton,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
8,8,90505,Stuart,Taylor,41.0,England,198 cm,85 kg,False,42,Arsenal,1.0,1.0,90.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
9,9,114571,Gilberto,Aparecido da Silva,45.0,Brazil,184 cm,74 kg,False,42,Arsenal,2.0,2.0,180.0,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
10,10,114817,Jermaine,Jenas,38.0,England,179 cm,76 kg,False,34,NewcastleUnited,2.0,2.0,180.0,Midfielder,,False,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
11,11,114850,Luke,Young,42.0,England,183 cm,78 kg,False,1335,Charlton,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
12,12,114851,Emile,Heskey,43.0,England,187 cm,83 kg,False,40,Liverpool,2.0,0.0,56.0,Attacker,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
