,Season,Standings,Team,Played,Wins,Draw,Lost,GoalsFor,GoalsAgainst,GoalDifference,Points
0,10/11,1,ManchesterUnited,38,23,11,4,78,37,41,80
1,10/11,2,Chelsea,38,21,8,9,69,33,36,71
2,10/11,3,ManchesterCity,38,21,8,9,60,33,27,71
3,10/11,4,Arsenal,38,19,11,8,72,43,29,68
4,10/11,5,TottenhamHotspur,38,16,14,8,55,46,9,62
5,10/11,6,Liverpool,38,17,7,14,59,44,15,58
6,10/11,7,Everton,38,13,15,10,51,45,6,54
7,10/11,8,Fulham,38,11,16,11,49,43,6,49
8,10/11,9,AstonVilla,38,12,12,14,48,59,-11,48
9,10/11,10,Sunderland,38,12,11,15,45,56,-11,47
10,10/11,11,WestBromwichAlbion,38,12,11,15,56,71,-15,47
11,10/11,12,NewcastleUnited,38,11,13,14,56,57,-1,46
12,10/11,13,StokeCity,38,13,7,18,46,48,-2,46
13,10/11,14,BoltonWanderers,38,12,10,16,52,56,-4,46
14,10/11,15,BlackburnRovers,38,11,10,17,46,59,-13,43
15,10/11,16,WiganAthletic,38,9,15,14,40,61,-21,42
16,10/11,17,WolverhamptonWanderers,38,11,7,20,46,66,-20,40
17,10/11,18,BirminghamCity,38,8,15,15,37,58,-21,39
18,10/11,19,Blackpool,38,10,9,19,55,78,-23,39
19,10/11,20,WestHamUnited,38,7,12,19,43,70,-27,33
20,11/12,1,ManchesterCity,38,28,5,5,93,29,64,89
21,11/12,2,ManchesterUnited,38,28,5,5,89,33,56,89
22,11/12,3,Arsenal,38,21,7,10,74,49,25,70
23,11/12,4,TottenhamHotspur,38,20,9,9,66,41,25,69
24,11/12,5,NewcastleUnited,38,19,8,11,56,51,5,65
25,11/12,6,Chelsea,38,18,10,10,65,46,19,64
26,11/12,7,Everton,38,15,11,12,50,40,10,56
27,11/12,8,Liverpool,38,14,10,14,47,40,7,52
28,11/12,9,Fulham,38,14,10,14,48,51,-3,52
29,11/12,10,WestBromwichAlbion,38,13,8,17,45,52,-7,47
30,11/12,11,SwanseaCity,38,12,11,15,44,51,-7,47
31,11/12,12,NorwichCity,38,12,11,15,52,66,-14,47
32,11/12,13,Sunderland,38,11,12,15,45,46,-1,45
33,11/12,14,StokeCity,38,11,12,15,36,53,-17,45
