,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season
0,160,Michel,Vorm,38,Netherlands,183 cm,84 kg,False,47,Tottenham,0,0,0,Goalkeeper,,False,0,0,9,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2019/2020
1,162,Toby Albertine Maurits,Alderweireld,33,Belgium,186 cm,81 kg,False,47,Tottenham,33,33,2958,Defender,6.966666,False,0,1,5,16,4,2,,2,,1616,12,79,40,32,31,226,117,1,0,,4,18,7,0,0,,,0,0,,2019/2020
2,642,Sergio Leonel,Agüero del Castillo,33,Argentina,173 cm,70 kg,False,50,Manchester City,24,18,1456,Attacker,7.160869,False,6,10,8,76,28,16,,3,,285,18,79,7,1,3,114,43,40,24,,9,9,1,0,0,2,,2,1,,2019/2020
3,2795,Gylfi Þór,Sigurðsson,33,Iceland,186 cm,79 kg,False,45,Everton,35,28,2562,Midfielder,6.854285,False,7,9,7,46,14,2,,3,,850,52,82,50,4,37,250,103,30,16,,23,34,3,0,0,,,1,0,,2019/2020
4,18757,Leighton,Baines,37,England,170 cm,74 kg,False,45,Everton,8,4,402,Defender,6.887500,False,4,2,23,1,0,0,,,,134,7,76,10,2,5,35,21,4,2,,4,1,0,0,0,,,0,0,,2019/2020
5,18774,Wes,Morgan,37,Jamaica,186 cm,101 kg,False,46,Leicester,11,4,429,Defender,6.680000,False,7,0,31,4,2,0,,,,217,0,67,4,3,7,49,26,2,2,,1,4,0,0,0,,,0,0,,2019/2020
6,18789,Heurelho,da Silva Gomes,40,Brazil,191 cm,91 kg,False,38,Watford,0,0,0,Goalkeeper,,False,0,0,38,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,2019/2020
7,18795,José,Holebas,37,Greece,184 cm,77 kg,False,38,Watford,14,11,1024,Defender,6.478571,False,3,2,10,6,3,0,,,,303,11,68,26,4,3,146,74,16,7,,6,18,5,0,0,,1,0,0,,2019/2020
8,18801,Sebastian,Prödl,34,Austria,194 cm,92 kg,False,38,Watford,1,1,57,Defender,6.700000,False,0,1,1,2,0,0,,,,6,0,54,,0,0,5,3,0,0,,0,1,0,0,0,,,0,0,,2019/2020
9,18818,Pablo Javier,Zabaleta Girod,35,Argentina,176 cm,74 kg,False,48,West Ham,10,6,589,Defender,6.580000,False,4,1,23,0,0,0,,,,188,3,74,18,3,14,65,37,3,2,,9,7,2,0,0,,,0,0,,2019/2020
